Name,Connection,Remark
AWS2963-001,OK,
AWS2963-002,OK,Batterry Low
AWS2963-003,OK,
AWS2963-004,OK,sensor ลมเสีย
AWS2963-005,OK,
AWS2963-006,OK,
AWS2963-007,OK,sensor ลมเสีย
AWS2963-008,OK,
AWS2963-009,OK,"RH เสีย, sensor ลมเสีย"
AWS2963-010,OK,
AWS2963-011,OK,sensor ลมเสีย
AWS2963-012,FAIL,
AWS2963-013,OK,
AWS2963-014,OK,ความกด เสีย
AWS2963-015,OK,
AWS2963-016,OK,
AWS2963-017,OK,"RH เสีย, sensor ลมเสีย"
AWS2963-018,OK,
AWS2963-019,OK,
AWS2963-020,OK,
AWS2963-021,OK,
AWS2963-022,OK,
AWS2963-023,FAIL,2026-06-08
AWS2963-024,OK,
AWS2963-025,OK,
AWS2963-026,OK,
AWS2963-027,FAIL,2026-06-04
AWS2963-028,OK,
AWS2963-029,OK,RH เสีย
AWS2963-030,OK,
AWS2963-031,OK,
AWS2963-032,OK,RH เสีย
AWS2963-033,OK,RH เสีย
AWS2963-034,OK,
AWS2963-035,OK,
AWS2963-036,OK,
AWS2963-037,FAIL,2026-06-08
AWS2963-038,OK,
AWS2963-039,OK,sensor ลมเสีย
AWS2963-040,OK,
AWS2963-041,FAIL,2026-06-08
AWS2963-042,OK,
AWS2963-043,OK,sensor ลมเสีย
AWS2963-044,OK,sensor ลมเสีย
AWS2963-045,OK,sensor ลมเสีย
AWS2963-046,FAIL,2026-06-08
AWS2963-047,OK,RH เสีย
AWS2963-048,OK,RH เสีย
AWS2963-049,OK,
AWS2963-050,FAIL,2024-01-24
AWS2963-051,OK,
AWS2963-052,OK,
AWS2963-053,OK,
AWS2963-054,OK,sensor ลมเสีย
AWS2963-055,OK,sensor ลมเสีย
AWS2963-056,FAIL,2026-06-08
AWS2963-057,OK,
AWS2963-058,OK,RH เสีย
AWS2963-059,FAIL,2026-05-23
AWS2963-060,FAIL,2025-12-14
AWS2963-061,FAIL,2025-04-11
AWS2963-062,FAIL,2026-06-08
AWS2963-063,FAIL,2026-06-08
AWS2963-064,FAIL,2026-02-12
AWS2963-065,FAIL,2026-06-08
AWS2963-066,FAIL,2025-08-26
AWS2963-067,FAIL,2026-06-07
AWS2963-068,FAIL,2026-03-14
AWS2963-069,FAIL,2026-06-08
AWS2963-070,FAIL,2026-04-21
AWS2963-071,FAIL,2025-08-19
AWS2963-072,FAIL,2026-03-21
AWS2963-073,OK,
AWS2963-074,OK,
AWS2963-075,OK,
AWS2963-076,FAIL,2026-06-08
AWS2963-077,OK,
AWS2963-078,FAIL,2024-12-29
AWS2963-079,OK,RH เสีย
AWS2963-080,OK,ความกด เสีย
AWS2963-081,OK,
AWS2963-082,OK,
AWS2963-083,FAIL,2026-06-08
AWS2963-084,FAIL,2026-06-08
AWS2963-085,FAIL,2026-02-07
AWS2963-086,FAIL,2026-05-09
AWS2963-087,FAIL,2026-06-08
AWS2963-088,FAIL,2025-07-23
AWS2963-089,OK,
AWS2963-090,OK,ความกด เสีย
AWS2963-091,OK,
AWS2963-092,OK,
AWS2963-093,OK,
AWS2963-094,FAIL,2026-02-10
AWS2963-095,OK,
AWS2963-096,FAIL,2026-06-08
AWS2963-097,FAIL,2025-09-10
AWS2963-098,OK,
AWS2963-099,FAIL,2025-12-27
AWS2963-100,OK,
AWS2963-101,FAIL,2026-06-08
AWS2963-102,OK,
AWS2963-103,OK,RH เสีย
AWS2963-104,FAIL,2026-06-08
AWS2963-105,FAIL,2023-04-30
AWS2963-106,OK,sensor ลมเสีย
AWS2963-107,OK,RH เสีย
AWS2963-108,OK,
AWS2963-109,OK,
AWS2963-110,OK,
AWS2963-111,OK,
AWS2963-112,OK,
AWS2963-113,OK,
AWS2963-114,FAIL,2026-06-08
AWS2963-115,OK,
AWS2963-116,OK,
AWS2963-117,OK,
AWS2963-118,OK,
AWS2963-119,OK,
AWS2963-120,OK,
AWS2963-121,OK,RH เสีย
AWS2963-122,OK,
AWS2963-123,OK,
AWS2963-124,OK,
AWS2963-125,OK,
AWS2963-126,OK,
AWS2963-127,FAIL,2026-06-08
AWS2963-128,OK,sensor ลมเสีย
AWS2963-129,OK,sensor ลมเสีย
AWS2963-130,OK,RH เสีย
AWS2963-131,OK,
AWS2963-132,OK,"RH เสีย, sensor ลมเสีย"
AWS2963-133,FAIL,2026-06-08
AWS2963-134,OK,sensor ลมเสีย
AWS2963-135,FAIL,2026-06-08
AWS2963-136,OK,RH เสีย
AWS2963-137,OK,
AWS2963-138,OK,
AWS2963-139,FAIL,2025-11-27
AWS2963-140,OK,
AWS2963-141,OK,
AWS2963-142,FAIL,2026-06-08
AWS2963-143,FAIL,2026-06-08
AWS2963-144,OK,sensor ลมเสีย
AWS2963-145,OK,
AWS2963-146,OK,
AWS2963-147,OK,
AWS2963-148,OK,
AWS2963-149,OK,
AWS2963-150,OK,
AWS2963-185,FAIL,2022-04-11
AWS2963-190,FAIL,2022-04-11
